breed,weight_kg,age_yr,activity,neutered,allergies,symptoms,conditions,kcal,pct_protein,pct_fat,pct_carb,meal_name,ingredients
labrador retriever,30,3,medium,1,chicken,waxy ears,,1650,30,30,40,Turkey & Rice Bowl,turkey,rice,carrot,peas
german shepherd,32,4,high,0,,diarrhea,,1900,32,32,36,Mackerel & Quinoa,mackerel,quinoa,zucchini
beagle,11,6,low,1,wheat,itchy paws,obesity,720,30,25,45,Turkey & Rice Bowl,turkey,rice,carrot,peas
golden retriever,28,5,medium,1,,soft stool,,1600,30,30,40,Lamb & Oats,lamb,oats,spinach
bulldog,22,7,low,1,chicken,dry skin,,980,28,28,44,Paneer & Veg Mix,dairy,rice,carrot,beans
poodle,9,2,medium,0,,healthy,,680,30,30,40,Egg & Sweet Potato,egg,sweet potato,spinach
rottweiler,45,4,high,0,,athletic,,2300,33,32,35,Chicken & Millet (swap if allergic),chicken,millet,pumpkin
shih tzu,6,9,low,1,dairy,itchy paws,,460,30,25,45,Tofu & Brown Rice,tofu,rice,broccoli
boxer,30,5,high,1,soy,,pancreatitis,1700,30,20,50,Turkey & Rice Bowl,turkey,rice,carrot,peas
dachshund,7,8,low,1,wheat,,obesity,460,30,25,45,Fish & Pumpkin,fish,pumpkin,rice
border collie,20,3,high,0,,energetic,,1500,32,32,36,Mackerel & Quinoa,mackerel,quinoa,zucchini
cocker spaniel,12,6,medium,1,chicken,itchy paws,,820,30,28,42,Lamb & Oats,lamb,oats,spinach
husky,25,5,high,0,,active,,1800,32,32,36,Egg & Sweet Potato,egg,sweet potato,spinach
pug,8,10,low,1,dairy,itchy skin,obesity,520,30,25,45,Tofu & Brown Rice,tofu,rice,broccoli
great dane,50,3,medium,0,,healthy,,2400,30,30,40,Turkey & Rice Bowl,turkey,rice,carrot,peas
