breed,weight_kg,age_yr,activity,neutered,allergies,symptoms,conditions,kcal,pct_protein,pct_fat,pct_carb,meal_name,ingredients
great dane,35,9,low,1,wheat,soft stool,arthritis,1341,37,20,43,Chicken & Sweet Potato,"salmon, zucchini, dairy"
beagle,34,4,high,0,chicken,dry skin,heart disease,1877,34,27,39,Paneer & Veg Mix,"carrot, beans, rice"
rottweiler,52,12,medium,0,dairy,itchy paws,heart disease,1677,25,39,36,Tofu & Veggie Stew,"quinoa, turkey, beef"
beagle,22,10,low,0,wheat,soft stool,heart disease,2449,26,35,39,Beef & Barley,"oats, tofu, chicken"
dachshund,59,11,medium,1,none,none,obesity,1724,36,32,32,Salmon & Brown Rice,"beef, chicken, quinoa"
poodle,21,10,high,0,wheat,none,heart disease,1377,25,37,38,Chicken & Sweet Potato,"oats, rice, dairy"
beagle,42,14,high,1,fish,diarrhea,diabetes,1638,27,39,34,Chicken & Sweet Potato,"barley, lentils, quinoa"
dachshund,18,9,high,0,none,diarrhea,diabetes,2194,31,29,40,Egg & Pumpkin Mix,"quinoa, potato, dairy"
labrador retriever,27,4,low,0,dairy,soft stool,allergies,2077,33,31,36,Mackerel & Quinoa,"beef, quinoa, oats"
boxer,29,10,low,0,wheat,itchy paws,none,1258,31,20,49,Paneer & Veg Mix,"mackerel, zucchini, rice"
beagle,19,10,high,0,beef,soft stool,heart disease,1591,29,29,42,Tofu & Veggie Stew,"chicken, salmon, beef"
labrador retriever,50,10,low,1,dairy,itchy paws,heart disease,1968,39,28,33,Tofu & Veggie Stew,"beef, barley, chicken"
german shepherd,26,9,high,0,wheat,itchy paws,arthritis,944,34,22,44,Turkey & Rice Bowl,"carrot, pumpkin, turkey"
doberman,7,11,low,1,fish,none,obesity,1849,26,38,36,Mackerel & Quinoa,"pumpkin, spinach, lentils"
yorkshire terrier,59,7,high,1,chicken,none,none,2369,28,28,44,Chicken & Sweet Potato,"lamb, egg, beans"
rottweiler,23,2,medium,0,chicken,none,allergies,1207,29,29,42,Duck & Lentils,"carrot, lamb, rice"
german shepherd,48,9,high,0,beef,dry skin,none,1101,29,38,33,Egg & Pumpkin Mix,"peas, potato, quinoa"
german shepherd,38,4,high,1,dairy,none,heart disease,2146,35,35,30,Beef & Barley,"potato, carrot, egg"
dachshund,39,8,low,1,fish,vomiting,arthritis,2403,26,37,37,Egg & Pumpkin Mix,"egg, barley, peas"
great dane,54,14,low,0,wheat,diarrhea,obesity,1882,24,33,43,Chicken & Sweet Potato,"salmon, oats, beans"
great dane,5,7,low,0,wheat,diarrhea,allergies,644,22,22,56,Turkey & Rice Bowl,"egg, salmon, peas"
poodle,56,13,low,0,chicken,itchy paws,none,774,37,21,42,Salmon & Brown Rice,"beef, beans, lentils"
bulldog,25,7,low,0,fish,diarrhea,allergies,1008,30,20,50,Tofu & Veggie Stew,"spinach, potato, lentils"
boxer,33,8,low,0,none,waxy ears,heart disease,1702,34,37,29,Beef & Barley,"zucchini, potato, barley"
